rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,termo
87,ihatesummer/bipartite_maxsum,https://github.com/ihatesummer/bipartite_maxsum,,2,2,0,Jupyter Notebook,2021-11-12T08:37:07Z,2024-03-06T04:01:46Z,2024-03-06T04:01:37Z,690586,,,0,main,False,False,False,False,ihatesummer,User,bipa
88,bapply/biparty-api,https://github.com/bapply/biparty-api,We have no idea what it's gonna be,2,2,0,Go,2018-09-08T12:11:12Z,2018-09-19T11:47:17Z,2018-09-19T11:47:15Z,257,,,0,master,False,False,False,False,bapply,Organization,bipa
89,SimoneDaniotti/bipartite_sbm,https://github.com/SimoneDaniotti/bipartite_sbm,Project for a general described class for bipartite (multipartite) Stochastic Block Model,2,2,0,Jupyter Notebook,2024-03-15T14:49:06Z,2024-11-10T14:58:14Z,2025-07-28T15:35:30Z,2264,GNU General Public License v2.0,,1,main,False,False,False,False,SimoneDaniotti,User,bipa
90,EthanMaDev/GraphEmbeddingBipartite,https://github.com/EthanMaDev/GraphEmbeddingBipartite,Bipartite Graph Embedding use SDNE,2,2,0,Python,2019-08-20T08:27:14Z,2025-03-27T10:55:34Z,2019-11-27T08:36:14Z,83825,,,0,master,False,False,False,False,EthanMaDev,User,bipa
91,ArnaudBelcour/kegg2bipartitegraph,https://github.com/ArnaudBelcour/kegg2bipartitegraph,Reconstruct metabolic graphs using KEGG database.,2,2,0,Python,2023-06-08T14:43:04Z,2025-08-29T10:27:01Z,2025-08-29T10:26:58Z,20309,Other,,1,main,False,False,False,False,ArnaudBelcour,User,bipa
92,GabrielTeixeiraC/Bipartite-Perfect-Matching,https://github.com/GabrielTeixeiraC/Bipartite-Perfect-Matching,This algorithm finds a minimum weight perfect matching in a bipartite graph using linear programmings and BFS.,2,2,0,Python,2022-07-05T00:50:57Z,2023-12-14T06:59:46Z,2022-08-10T19:33:24Z,10,,,0,master,False,False,False,False,GabrielTeixeiraC,User,bipa
93,raghvendra1501/bipartite_graph_sets,https://github.com/raghvendra1501/bipartite_graph_sets,Job Assignment problem solution with the help of bipartite graph,2,2,0,Ruby,2019-12-06T13:32:30Z,2024-10-04T09:47:20Z,2019-12-09T07:21:01Z,9,,,0,master,False,False,False,False,raghvendra1501,User,bipa
94,tianshu-wang/PFS-GNN-bipartite,https://github.com/tianshu-wang/PFS-GNN-bipartite,,2,2,1,Python,2021-04-23T21:46:50Z,2024-07-05T03:24:50Z,2021-09-29T19:13:27Z,1206,,,0,main,False,False,False,False,tianshu-wang,User,bipa
95,JohnLeeser/Bipartite-graph-generator,https://github.com/JohnLeeser/Bipartite-graph-generator,可以指定L点集和R点集的数量，每两个顶点之间存在边的概率，并确保L点集与R点集中的每个点至少有一条边（此举避免产生单一顶点影响实验）。生成器会在指定路径下的目标文件夹中，创建以L点集的数量、R点集的数量和边的概率命名的文本文档文件，如edge_20_30_0.2.txt，并输出数据储存到该文档内。文档内的二分图输出格式为“每行一条边，每条边连接两个点，两点中以空格隔开，例如1 2表示1号点和2号点之间存在一条边。,2,2,0,C++,2023-05-17T09:23:10Z,2025-01-10T22:50:29Z,2023-05-17T09:24:44Z,185,Apache License 2.0,,0,main,False,False,False,False,JohnLeeser,User,bipa
96,elhipercubo/maxmin_fair_bipartite_matching,https://github.com/elhipercubo/maxmin_fair_bipartite_matching,,2,2,0,C++,2019-08-13T00:41:03Z,2020-08-19T22:41:26Z,2019-08-13T00:46:57Z,19,Other,,0,master,False,False,False,False,elhipercubo,User,bipa
97,mpc-bioinformatics/bipartite-peptide-protein-graphs,https://github.com/mpc-bioinformatics/bipartite-peptide-protein-graphs,,2,2,0,R,2021-01-18T16:07:45Z,2025-01-15T14:14:27Z,2024-07-09T07:22:13Z,70,Other,,0,main,False,False,False,False,mpc-bioinformatics,Organization,bipa
98,Nicknakis/HBDM_bipartite_global_Bias,https://github.com/Nicknakis/HBDM_bipartite_global_Bias,,2,2,0,Python,2024-04-12T10:54:34Z,2024-11-23T17:24:32Z,2024-04-12T11:03:13Z,183,,,0,main,False,False,False,False,Nicknakis,User,bipa
99,agattani190/Exact-Euclidean-Bipartite-Matching,https://github.com/agattani190/Exact-Euclidean-Bipartite-Matching,,2,2,0,Java,2023-10-26T16:56:29Z,2024-11-06T19:16:11Z,2023-10-26T20:26:15Z,33733,,,0,main,False,False,False,False,agattani190,User,bipa
100,yianni-ververis/SenseUI-BiPartite,https://github.com/yianni-ververis/SenseUI-BiPartite,A responsive and mobile friendly Qlik Sense Bipartite Chart,2,2,1,JavaScript,2017-03-02T13:25:17Z,2019-05-30T21:27:29Z,2017-03-09T15:23:07Z,471,,,1,master,False,False,False,False,yianni-ververis,User,bipa
