author,rating,title,content,votes,date
lala carrijo,1,O design do jogo é maravilhoso porém..,"Já instalei e desinstalei várias vezes na tentativa de jogar, mas tudo dentro do jogo, como móveis e decorações é exorbitantemente caro não é possível alcançar metas e missões, uma vez que os recursos “gratuitos” oferecidos dentro do jogo são limitadíssimos, se não for pagando em dinheiro real comprando diamantes e decorações com dinheiro $$$. Já cheguei a gastar mais de 100,00 ao mês e mesmo assim nunca é suficiente sempre estão lançando coleções e obrigando você a comprar para fazer novos designs, mais uma vez desinstalo e possivelmente não voltarei a jogar se isso não mudar.",2,2023-06-15T13:45:31-07:00
aline esteves,4,Tá na média,"Esse jogo tem muito potencial, super interativo e de uma variedade incrível de objetivos de decoração. Mas uma coisa que eu não gosto, é que é muito difícil pra ganhar dinheiro e diamantes. Os objetos de decoração e móveis são muito caros e tem usos limitados. Teria que ter uma forma de conseguir mais diamantes de forma simples ou pelo menor poder usar os itens por mais tempo.",0,2023-05-07T06:55:39-07:00
messiley,5,Gostei,Pena que não tem em português,0,2023-03-20T15:04:03-07:00
Tilava,3,É jogo?,Ou loja? Não tem como jogar sem dinheiro real,0,2023-03-10T03:14:35-07:00
kkjdfk,5,amo,o melhor jogo,0,2023-01-18T11:41:06-07:00
DeiseMieko,5,Ajuda please,"O jogo é maravilhoso , mas parei de receber diamantes e já olhei todos os prêmios e continua aparecendo número 1 como se eu tivesse recebido um prêmio e não aberto, mas olhei em todos e não tem nada, da pra arrumar ? Id: 52431933",0,2022-11-10T05:19:53-07:00
hods89,5,Melhor jogo de decoração,"É viciante demais, claro que tem que ter paciência para conseguir diamante e dinheiro, mas jogando vc acumula móveis. Eu adoro jogo a uns anos",0,2022-11-09T18:47:37-07:00
AleCamargoSilva,5,Amo,Nós rende grandes ideias e perspetiva sobre ambientes e criações!,0,2022-11-08T06:44:12-07:00
Docinho lindinha e florzinha,5,Incrível,"Simplismente incrível, esse aplicativo faz parte dos meus dias tem mais de 5 anos, todos os dias faço a casa do dia e isso me relaxa. Só estou sentindo falta das “my homes”, gostaria que vocês preparassem outras my homes para podermos decorar!! Muito obrigada 🙏🙏🙏",0,2022-10-09T08:03:32-07:00
trevisan let,1,Baixe se quiser gastar dinheiro,Se vc não gastar dinheiro o jogo fica tedioso e limitado.,2,2022-08-30T18:22:16-07:00
nogbia,1,Versão gratuita muito limitada,"Depois de jogar três vezes, você se dá conta de que terá que pagar se quiser continuar jogando. Desafios impossíveis (literalmente impossíveis) para quem quer jogar de graça.",0,2022-08-01T17:20:06-07:00
Cacomc,3,Distrai,"Te

Falta colocar cozinhas para decorar; e liberar amigos aleatórios para poder pegar itens emprestados",0,2022-07-06T15:13:50-07:00
Feliz de fone,5,Muito bom jogar,Eu amo fazer as decorações no jogo. 😍,0,2022-06-19T05:31:39-07:00
aline.rebecca,4,Meu jogo do coração,"Eu adoro esse jogo, tá comigo já a um tempinho d eu amo, porém nos últimos dias eu tenho tudo alguns problemas, ele entra normalmente mas a tela fica travada a primeira página, já tentei de tudo, reiniciar o celular e até desinstalar e instalar novamente e continua do mesmo jeito, não sei mais o que fazer 😔",0,2022-06-04T15:44:01-07:00
viitorrmonteiro,5,Adoro jogo de reformas,Muito bom,0,2022-06-02T22:00:12-07:00
Elainerkfm,5,Designer Katia,Muito dinâmico e agradável !,0,2022-05-26T19:37:59-07:00
bilali301927,4,Melhor Jogo,"Eu amo esse jogo, cada desafio é diferente",0,2022-05-26T04:46:21-07:00
Jhuin23467,2,App está sempre bugado,O app está sempre com algum problema! A jogabilidade fica completamente prejudicada!,0,2022-05-09T17:48:05-07:00
pri.castro38,4,Seria ótimo ter uma wishlist,"O jogo é ótimo, mas tem muitos itens e às vezes perdemos de vista os mais bonitos. Se tivéssemos uma lista de desejos ficaria melhor :)",0,2022-04-17T18:32:55-07:00
Vmpm9,5,Melhor passatempo,"Adoro esse jogo, para quem gosta de decoração ele é perfeito!",0,2022-04-06T07:12:04-07:00
@ln.l3,5,Jogo interessante,"Sempre trazendo novos desafios. Demora um pouco para pegar o esquema do jogo, mas depois que aprende só flui!",0,2022-02-04T03:34:12-07:00
Mih P.S,5,Mii,Mt boom,0,2022-01-31T16:04:01-07:00
