fonte,tipo,termo,conteudo,relevancia,regiao,cliente,fonte_busca,categoria,data_coleta,valor,url,buscador,posicao,canal,video_id,publicado_em,autor,likes,video_titulo,desenvolvedor,rating,installs,app_id
Google Suggest,sugestao,bitcoin,bitcoin google finance,550.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,1251.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar,1250.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real,601.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar gráfico,600.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hyper,560.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin historico,559.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje cotação,558.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje tempo real,557.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real agora,556.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje em reais,555.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin halving,554.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje agora,553.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar agora,552.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin heatmap,551.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar real,550.0,br,chrome,web,expansao_h,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin in dollar,1050.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin in usd,603.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investidor10,602.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investimento,601.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imposto de renda,600.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin inicio,559.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imagem,558.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin index,557.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imposto,556.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin infomoney,555.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin icon,554.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin itau,553.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin indice do medo,552.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ira subir,551.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investing.com,550.0,br,chrome,web,expansao_i,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,601.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jogo,600.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2025,562.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ja era,561.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2024,560.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jogo do tigre,559.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar,558.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jobs,557.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ja chegou a quanto,556.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jp morgan,555.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2023,554.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2026,553.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje usd,552.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin juros eua,551.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real,550.0,br,chrome,web,expansao_j,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin knots,1250.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kurs,850.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin keeper,602.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kevin durant,601.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kraken,600.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kevin duran,558.0,br,chrome,web,expansao_k,2025-12-11 21:07:47,,,,,,,,,,,,,,
