rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,termo
28,The Spatiotemporal Scaling Laws of Bitcoin Transactions,"Lajos Kelemen, István András Seres, Ágnes Backhausz","['Lajos Kelemen', 'István András Seres', 'Ágnes Backhausz']",2023-09-21,2023-09-21T08:34:47Z,https://arxiv.org/abs/2309.11884v1,"This study, to the best of our knowledge for the first time, delves into the spatiotemporal dynamics of Bitcoin transactions, shedding light on the scaling laws governing its geographic usage. Leveraging a dataset of IP addresses and Bitcoin addresses spanning from October 2013 to December 2013, we explore the geospatial patterns unique to Bitcoin. Motivated by the needs of cryptocurrency businesses, regulatory clarity, and network science inquiries, we make several contributions. Firstly, we empirically characterize Bitcoin transactions' spatiotemporal scaling laws, providing insights into its spending behaviours. Secondly, we introduce a Markovian model that effectively approximates Bitcoin's observed spatiotemporal patterns, revealing economic connections among user groups in the Bitcoin ecosystem. Our measurements and model shed light on the inhomogeneous structure of the network: although Bitcoin is designed to be decentralized, there are significant geographical differences in the distribution of user activity, which has consequences for all participants and possible (regulatory) control over the system.","cs.SI, cs.CR","['cs.SI', 'cs.CR']",2309.11884v1,,"10 pages, 5 figures. Pre-print",,cs.SI,bitcoin
29,On Decentralization of Bitcoin: An Asset Perspective,"Ling Cheng, Feida Zhu, Huiwen Liu, Chunyan Miao","['Ling Cheng', 'Feida Zhu', 'Huiwen Liu', 'Chunyan Miao']",2021-05-17,2021-05-17T07:20:36Z,https://arxiv.org/abs/2105.07646v1,"Since its advent in 2009, Bitcoin, a cryptography-enabled peer-to-peer digital payment system, has been gaining increasing attention from both academia and industry. An effort designed to overcome a cluster of bottlenecks inherent in existing centralized financial systems, Bitcoin has always been championed by the crypto community as an example of the spirit of decentralization. While the decentralized nature of Bitcoin's Proof-of-Work consensus algorithm has often been discussed in great detail, no systematic study has so far been conducted to quantitatively measure the degree of decentralization of Bitcoin from an asset perspective -- How decentralized is Bitcoin as a financial asset? We present in this paper the first systematic investigation of the degree of decentralization for Bitcoin based on its entire transaction history. We proposed both static and dynamic analysis of Bitcoin transaction network with quantifiable decentralization measures developed based on network analysis and market efficiency study. Case studies are also conducted to demonstrate the effectiveness of our proposed metrics.","cs.CR, cs.SI","['cs.CR', 'cs.SI']",2105.07646v1,,,,cs.CR,bitcoin
30,Risk Premia in the Bitcoin Market,"Caio Almeida, Maria Grith, Ratmir Miftachov, Zijin Wang","['Caio Almeida', 'Maria Grith', 'Ratmir Miftachov', 'Zijin Wang']",2024-10-19,2024-10-19T20:03:42Z,https://arxiv.org/abs/2410.15195v2,"We analyze the first and second moment risk premia in the Bitcoin market based on options and realized returns and contrast them to the premia embedded in the main US stock index market. First, Bitcoin is much more volatile and has a higher variance risk premium than the S&P 500. By decomposing the return premium into different regions of the return state space, we find that while most of the S&P 500 equity premium comes from mildly negative returns, the corresponding negative Bitcoin returns (between three and one standard deviations) account for only one-third of the total Bitcoin premium (BP). Further, applying a novel clustering algorithm to a collection of estimated Bitcoin option-implied risk-neutral densities, we find that risk premia vary over time as a function of two distinct market volatility regimes. The low-volatility regime implies a relatively high share of BP attributable to positive returns and a high Bitcoin Variance Risk Premium (BVRP). In high-volatility states, the BP attributable to positive and negative returns is more balanced, and the BVRP is lower. These results suggest Bitcoin investors are more concerned about variance and upside risk in a low-volatility regime.",econ.GN,['econ.GN'],2410.15195v2,,,,econ.GN,bitcoin
31,Bitcoin Meets Strong Consistency,"Christian Decker, Jochen Seidel, Roger Wattenhofer","['Christian Decker', 'Jochen Seidel', 'Roger Wattenhofer']",2014-12-26,2014-12-26T12:58:13Z,https://arxiv.org/abs/1412.7935v1,"The Bitcoin system only provides eventual consistency. For everyday life, the time to confirm a Bitcoin transaction is prohibitively slow. In this paper we propose a new system, built on the Bitcoin blockchain, which enables strong consistency. Our system, PeerCensus, acts as a certification authority, manages peer identities in a peer-to-peer network, and ultimately enhances Bitcoin and similar systems with strong consistency. Our extensive analysis shows that PeerCensus is in a secure state with high probability. We also show how Discoin, a Bitcoin variant that decouples block creation and transaction confirmation, can be built on top of PeerCensus, enabling real-time payments. Unlike Bitcoin, once transactions in Discoin are committed, they stay committed.","cs.DC, cs.CR","['cs.DC', 'cs.CR']",1412.7935v1,,,,cs.DC,bitcoin
32,Disorder Unleashes Panic in Bitcoin Dynamics,"Marco Alberto Javarone, Gabriele Di Antonio, Gianni Valerio Vinci, Raffaele Cristodaro, Claudio J. Tessone, Luciano Pietronero","['Marco Alberto Javarone', 'Gabriele Di Antonio', 'Gianni Valerio Vinci', 'Raffaele Cristodaro', 'Claudio J. Tessone', 'Luciano Pietronero']",2022-09-20,2022-09-20T16:24:18Z,https://arxiv.org/abs/2209.09832v1,"The behaviour of Bitcoin owners is reflected in the structure and the number of bitcoin transactions encoded in the Blockchain. Likewise, the behaviour of Bitcoin traders is reflected in the formation of bullish and bearish trends in the crypto market. In light of these observations, we wonder if human behaviour underlies some relationship between the Blockchain and the crypto market. To address this question, we map the Blockchain to a spin-lattice problem, whose configurations form ordered and disordered patterns, representing the behaviour of Bitcoin owners. This novel approach allows us to obtain time series suitable to detect a causal relationship between the dynamics of the Blockchain and market trends of the Bitcoin and to find that disordered patterns in the Blockchain precede Bitcoin panic selling. Our results suggest that human behaviour underlying Blockchain evolution and the crypto market brings out a fascinating connection between disorder and panic in Bitcoin dynamics.","physics.soc-ph, cond-mat.stat-mech","['physics.soc-ph', 'cond-mat.stat-mech']",2209.09832v1,,"6 pages, 3 figures",,physics.soc-ph,bitcoin
33,Operational Distributed Regulation for Bitcoin,"Dinesh, Erlich, Gilfoyle, Jared, Richard, Johan Pouwelse","['Dinesh', 'Erlich', 'Gilfoyle', 'Jared', 'Richard', 'Johan Pouwelse']",2014-06-20,2014-06-20T16:06:46Z,https://arxiv.org/abs/1406.5440v1,"On February 2014, $650.000.000 worth of Bitcoins disappeared. Currently it is unclear whether hackers or MtGox, the largest Bitcoin exchange, are to be blamed. In either case, the anonymous and unregulated nature of the Bitcoin system makes it practically impossible for innocent victims to get their money back. We have investigated the technical possibilities, solutions and implications of introducing a regulatory framework based on redlisting Bitcoin accounts. Despite numerous proposals, the Bitcoin community has voiced a strong opinion against any form of regulation. However, most of the discussions were based on speculations rather than facts. We strive to contribute a scientific foundation to these discussions and illuminate the path to crypto-justice.","cs.CR, cs.CY, cs.DC","['cs.CR', 'cs.CY', 'cs.DC']",1406.5440v1,,9 pages report by students who desire to remain anonymous,,cs.CR,bitcoin
34,Programming on Bitcoin: A Survey of Layer 1 and Layer 2 Technologies in Bitcoin Ecosystem,"Guofu Liao, Taotao Wang, Qing Yang, Yihan Xia, Long Shi, Xiang Zhao, Xiaoxiao Wu, Shengli Zhang, Anthony Chan, Richard Yuen","['Guofu Liao', 'Taotao Wang', 'Qing Yang', 'Yihan Xia', 'Long Shi', 'Xiang Zhao', 'Xiaoxiao Wu', 'Shengli Zhang', 'Anthony Chan', 'Richard Yuen']",2024-09-29,2024-09-29T09:15:14Z,https://arxiv.org/abs/2409.19622v1,"This paper surveys innovative protocols that enhance the programming functionality of the Bitcoin blockchain, a key part of the ""Bitcoin Ecosystem."" Bitcoin utilizes the Unspent Transaction Output (UTXO) model and a stack-based script language for efficient peer-to-peer payments, but it faces limitations in programming capability and throughput. The 2021 Taproot upgrade introduced the Schnorr signature algorithm and P2TR transaction type, significantly improving Bitcoin's privacy and programming capabilities. This upgrade has led to the development of protocols like Ordinals, Atomicals, and BitVM, which enhance Bitcoin's programming functionality and enrich its ecosystem. We explore the technical aspects of the Taproot upgrade and examine Bitcoin Layer 1 protocols that leverage Taproot's features to program non-fungible tokens (NFTs) into transactions, including Ordinals and Atomicals, along with the fungible token standards BRC-20 and ARC-20.
  Additionally, we categorize certain Bitcoin ecosystem protocols as Layer 2 solutions similar to Ethereum's, analyzing their impact on Bitcoin's performance. By analyzing data from the Bitcoin blockchain, we gather metrics on block capacity, miner fees, and the growth of Taproot transactions. Our findings confirm the positive effects of these protocols on Bitcoin's mainnet, bridging gaps in the literature regarding Bitcoin's programming capabilities and ecosystem protocols and providing valuable insights for practitioners and researchers.",cs.CR,['cs.CR'],2409.19622v1,,,,cs.CR,bitcoin
35,Green Bitcoin: Global Sound Money,"Heung-No Lee, Young-Sik Kim, Dilbag Singh, Manjit Kaur","['Heung-No Lee', 'Young-Sik Kim', 'Dilbag Singh', 'Manjit Kaur']",2022-12-07,2022-12-07T19:53:22Z,https://arxiv.org/abs/2212.13986v1,"Modern societies have adopted government-issued fiat currencies many of which exist today mainly in the form of digits in credit and bank accounts. Fiat currencies are controlled by central banks for economic stimulation and stabilization. Boom-and-bust cycles are created. The volatility of the cycle has become increasingly extreme. Social inequality due to the concentration of wealth is prevalent worldwide. As such, restoring sound money, which provides stored value over time, has become a pressing issue. Currently, cryptocurrencies such as Bitcoin are in their infancy and may someday qualify as sound money. Bitcoin today is considered as a digital asset for storing value. But Bitcoin has problems. The first issue of the current Bitcoin network is its high energy consumption consensus mechanism. The second is the cryptographic primitives which are unsafe against post-quantum (PQ) attacks. We aim to propose Green Bitcoin which addresses both issues. To save energy in consensus mechanism, we introduce a post-quantum secure (self-election) verifiable coin-toss function and novel PQ secure proof-of-computation primitives. It is expected to reduce the rate of energy consumption more than 90 percent of the current Bitcoin network. The elliptic curve cryptography will be replaced with PQ-safe versions. The Green Bitcoin protocol will help Bitcoin evolve into a post-quantum secure network.",cs.CR,['cs.CR'],2212.13986v1,,16 pages,,cs.CR,bitcoin
36,Deciphering Bitcoin Blockchain Data by Cohort Analysis,"Yulin Liu, Luyao Zhang, Yinhong Zhao","['Yulin Liu', 'Luyao Zhang', 'Yinhong Zhao']",2021-02-27,2021-02-27T10:24:18Z,https://arxiv.org/abs/2103.00173v3,"Bitcoin is a peer-to-peer electronic payment system that has rapidly grown in popularity in recent years. Usually, the complete history of Bitcoin blockchain data must be queried to acquire variables with economic meaning. This task has recently become increasingly difficult, as there are over 1.6 billion historical transactions on the Bitcoin blockchain. It is thus important to query Bitcoin transaction data in a way that is more efficient and provides economic insights. We apply cohort analysis that interprets Bitcoin blockchain data using methods developed for population data in the social sciences. Specifically, we query and process the Bitcoin transaction input and output data within each daily cohort. This enables us to create datasets and visualizations for some key Bitcoin transaction indicators, including the daily lifespan distributions of spent transaction output (STXO) and the daily age distributions of the cumulative unspent transaction output (UTXO). We provide a computationally feasible approach for characterizing Bitcoin transactions that paves the way for future economic studies of Bitcoin.","econ.GN, math.NA, q-fin.CP, stat.CO","['econ.GN', 'math.NA', 'q-fin.CP', 'stat.CO']",2103.00173v3,10.1038/s41597-022-01254-0,,"Sci. Data 9, 136 (2022)",econ.GN,bitcoin
37,Bandwidth-Efficient Transaction Relay for Bitcoin,"Gleb Naumenko, Gregory Maxwell, Pieter Wuille, Alexandra Fedorova, Ivan Beschastnikh","['Gleb Naumenko', 'Gregory Maxwell', 'Pieter Wuille', 'Alexandra Fedorova', 'Ivan Beschastnikh']",2019-05-25,2019-05-25T04:25:03Z,https://arxiv.org/abs/1905.10518v2,"Bitcoin is a top-ranked cryptocurrency that has experienced huge growth and survived numerous attacks. The protocols making up Bitcoin must therefore accommodate the growth of the network and ensure security. Security of the Bitcoin network depends on connectivity between the nodes. Higher connectivity yields better security. In this paper we make two observations: (1) current connectivity in the Bitcoin network is too low for optimal security; (2) at the same time, increasing connectivity will substantially increase the bandwidth used by the transaction dissemination protocol, making it prohibitively expensive to operate a Bitcoin node. Half of the total bandwidth needed to operate a Bitcoin node is currently used to just announce transactions. Unlike block relay, transaction dissemination has received little attention in prior work. We propose a new transaction dissemination protocol, Erlay, that not only reduces the bandwidth consumption by 40% assuming current connectivity, but also keeps the bandwidth use almost constant as the connectivity increases. In contrast, the existing protocol increases the bandwidth consumption linearly with the number of connections. By allowing more connections at a small cost, Erlay improves the security of the Bitcoin network. And, as we demonstrate, Erlay also hardens the network against attacks that attempt to learn the origin node of a transaction. Erlay is currently being investigated by the Bitcoin community for future use with the Bitcoin protocol.",cs.CR,['cs.CR'],1905.10518v2,,,,cs.CR,bitcoin
38,Turning Bitcoins into the Best-coins,Siddharth Prakash Rao,['Siddharth Prakash Rao'],2014-12-23,2014-12-23T16:09:13Z,https://arxiv.org/abs/1412.7424v1,"In this paper we discuss Bitcoin, the leader among the existing cryptocurrencies, to analyse its trends, success factors, current challenges and probable solutions to make it even better. In the introduction section, we discuss the history and working mechanism of Bitcoin. In the background section, we develop the ideas that evolved in the process of making a stable cryptocurrency. We also analyze the survey matrices of the present day cryptocurrencies. This survey clearly shows that Bitcoin is the clear winner among its kind. Section 3 is about the success factors of Bitcoin and the proceeding sections are a discussion about current challenges which pose as hurdles in making Bitcoin a better currency in the digital world. We finally discuss the balance between anonymity and reduced trust in the cryptocurrency world, before concluding the survey.",cs.CR,['cs.CR'],1412.7424v1,,,,cs.CR,bitcoin
39,Bitcoin and Decentralized Trust Protocols,Ricardo Perez-Marco,['Ricardo Perez-Marco'],2016-01-20,2016-01-20T12:40:16Z,https://arxiv.org/abs/1601.05254v2,"Bitcoin is the first decentralized peer-to-peer (P2P) electronic currency. It was created in November 2008 by Satoshi Nakamoto. Nakamoto released the first implementation of the protocol in an open source client software and the genesis of bitcoins began on January 9th 2009. The Bitcoin protocol is based on clever ideas which solve a form of the Byzantine Generals Problem and sets the foundation for Decentralized Trust Protocols. Still in its infancy, the currency and the protocol have the potential to disrupt the international financial system and other sectors where business is based on trusted third parties. The security of the bitcoin protocol relies on strong cryptography and one way hashing algorithms.","cs.CY, math.HO","['cs.CY', 'math.HO']",1601.05254v2,,"This is a general survey article to appear on the June 2016 issue of the Newsletter of the EMS. 8 pages, 5 figures",,cs.CY,bitcoin
40,Bitcoin's future carbon footprint,"Shize Qin, Lena Klaaßen, Ulrich Gallersdörfer, Christian Stoll, Da Zhang","['Shize Qin', 'Lena Klaaßen', 'Ulrich Gallersdörfer', 'Christian Stoll', 'Da Zhang']",2020-11-05,2020-11-05T01:58:16Z,https://arxiv.org/abs/2011.02612v2,"The carbon footprint of Bitcoin has drawn wide attention, but Bitcoin's long-term impact on the climate remains uncertain. Here we present a framework to overcome uncertainties in previous estimates and project Bitcoin's electricity consumption and carbon footprint in the long term. If we assume Bitcoin's market capitalization grows in line with the one of gold, we find that the annual electricity consumption of Bitcoin may increase from 60 to 400 TWh between 2020 and 2100. The future carbon footprint of Bitcoin strongly depends on the decarbonization pathway of the electricity sector. If the electricity sector achieves carbon neutrality by 2050, Bitcoin's carbon footprint has peaked already. However, in the business-as-usual scenario, emissions sum up to 2 gigatons until 2100, an amount comparable to 7% of global emissions in 2019. The Bitcoin price spike at the end of 2020 shows, however, that progressive development of market capitalization could yield an electricity consumption of more than 100 TWh already in 2021, and lead to cumulative emissions of over 5 gigatons by 2100. Therefore, we also discuss policy instruments to reduce Bitcoin's future carbon footprint.","econ.GN, cs.CY","['econ.GN', 'cs.CY']",2011.02612v2,,"30 pages, 6 figures",,econ.GN,bitcoin
41,Obfuscation in Bitcoin: Techniques and Politics,"Arvind Narayanan, Malte Möser","['Arvind Narayanan', 'Malte Möser']",2017-06-16,2017-06-16T21:15:46Z,https://arxiv.org/abs/1706.05432v2,"In the cryptographic currency Bitcoin, all transactions are recorded in the blockchain - a public, global, and immutable ledger. Because transactions are public, Bitcoin and its users employ obfuscation to maintain a degree of financial privacy. Critically, and in contrast to typical uses of obfuscation, in Bitcoin obfuscation is not aimed against the system designer but is instead enabled by design. We map sixteen proposed privacy-preserving techniques for Bitcoin on an obfuscation-vs.-cryptography axis, and find that those that are used in practice tend toward obfuscation. We argue that this has led to a balance between privacy and regulatory acceptance.","cs.CY, cs.CR","['cs.CY', 'cs.CR']",1706.05432v2,,,,cs.CY,bitcoin
42,Using Networks and Partial Differential Equations to Predict Bitcoin Price,"Yufang Wang, Haiyan Wang","['Yufang Wang', 'Haiyan Wang']",2020-01-08,2020-01-08T17:31:37Z,https://arxiv.org/abs/2001.03099v1,"Over the past decade, the blockchain technology and its Bitcoin cryptocurrency have received considerable attention. Bitcoin has experienced significant price swings in daily and long-term valuations. In this paper, we propose a partial differential equation (PDE) model on the bitcoin transaction network for predicting bitcoin price. Through analysis of bitcoin subgraphs or chainlets, the PDE model captures the influence of transaction patterns on bitcoin price over time and combines the effect of all chainlet clusters. In addition, Google Trends Index is incorporated to the PDE model to reflect the effect of bitcoin market sentiment. The experiment shows that the average accuracy of daily bitcoin price prediction is 0.82 for 362 consecutive days in 2017. The results demonstrate the PDE model is capable of predicting bitcoin price. The paper is the first attempt to apply a PDE model to the bitcoin transaction network for predicting bitcoin price.",q-fin.PR,['q-fin.PR'],2001.03099v1,10.1063/5.0002759,,,q-fin.PR,bitcoin
43,Ether: Bitcoin's competitor or ally?,"Jamal Bouoiyour, Refk Selmi","['Jamal Bouoiyour', 'Refk Selmi']",2017-07-25,2017-07-25T13:18:25Z,https://arxiv.org/abs/1707.07977v1,"Although Bitcoin has long been dominant in the crypto scene, it is certainly not alone. Ether is another cryptocurrency related project that has attracted an intensive attention because of its additional features. This study seeks to test whether these cryptocurrencies differ in terms of their volatile and speculative behaviors, hedge, safe haven and risk diversification properties. Using different econometric techniques, we show that a) Bitcoin and Ether are volatile and relatively more responsive to bad news, but the volatility of Ether is more persistent than that of Bitcoin; b) for both cryptocurrencies, the exuberance and the collapse of bubbles were identified, but Bitcoin appears more speculative than Ether; c) there is negative and significant correlation between Bitcoin/Ether and other assets (S\&P500 stocks, US bonds, oil), which would indicate that digital currencies can hedge against the price movements of these assets; d) there is negative tail independence between Bitcoin/Ether and other financial assets, implying that these cryptocurrencies exhibit the function of a weak safe haven; and e) The inclusion of Bitcoin/ Ether in a portfolio improve its efficiency in terms of higher reward-to-risk ratios. But investors who hold diversified portfolios made of stocks or bonds and Ether may face losses over bearish regime. In such situation, stock and bond investors may take a short position on Bitcoin.","q-fin.PM, q-fin.ST","['q-fin.PM', 'q-fin.ST']",1707.07977v1,,,,q-fin.PM,bitcoin
44,Nowcasting the Bitcoin Market with Twitter Signals,Jermain Kaminski,['Jermain Kaminski'],2014-06-30,2014-06-30T02:08:03Z,https://arxiv.org/abs/1406.7577v3,"This paper analyzes correlations and causalities between Bitcoin market indicators and Twitter posts containing emotional signals on Bitcoin. Within a timeframe of 104 days (November 23rd 2013 - March 7th 2014), about 160,000 Twitter posts containing ""bitcoin"" and a positive, negative or uncertainty related term were collected and further analyzed. For instance, the terms ""happy"", ""love"", ""fun"", ""good"", ""bad"", ""sad"" and ""unhappy"" represent positive and negative emotional signals, while ""hope"", ""fear"" and ""worry"" are considered as indicators of uncertainty. The static (daily) Pearson correlation results show a significant positive correlation between emotional tweets and the close price, trading volume and intraday price spread of Bitcoin. However, a dynamic Granger causality analysis does not confirm a statistically significant effect of emotional Tweets on Bitcoin market values. To the contrary, the analyzed data shows that a higher Bitcoin trading volume Granger causes more signals of uncertainty within a 24 to 72-hour timeframe. This result leads to the interpretation that emotional sentiments rather mirror the market than that they make it predictable. Finally, the conclusion of this paper is that the microblogging platform Twitter is Bitcoin's virtual trading floor, emotionally reflecting its trading dynamics.",cs.SI,['cs.SI'],1406.7577v3,,,,cs.SI,bitcoin
45,Bitcoin ETF: Opportunities and risk,Di Wu,['Di Wu'],2024-08-30,2024-08-30T21:57:31Z,https://arxiv.org/abs/2409.00270v1,"The year 2024 witnessed a major development in the cryptocurrency industry with the long-awaited approval of spot Bitcoin exchange-traded funds (ETFs). This innovation provides investors with a new, regulated path to gain exposure to Bitcoin through a familiar investment vehicle (Kumar et al., 2024). However, unlike traditional ETFs that directly hold underlying assets, Bitcoin ETFs rely on a creation and redemption process managed by authorized participants (APs). This unique structure introduces distinct characteristics in terms of premium/discount behavior compared to traditional ETFs. This paper investigates the premium and discount patterns observed in Bitcoin ETFs during first four-month period (January 11th, 2024, to May 17th, 2024). Our analysis reveals that these patterns differ significantly from those observed in traditional index ETFs, potentially exposing investors to additional risk factors. By identifying and analyzing these risk factors associated with Bitcoin ETF premiums/discounts, this paper aims to achieve two key objectives: Enhance market understanding: Equip and market and investors with a deeper comprehension of the unique liquidity risks inherent in Bitcoin ETFs. Provide a clearer risk management frameworks: Offer a clearer perspective on the risk-return profile of digital asset ETFs, specifically focusing on Bitcoin ETFs. Through a thorough analysis of premium/discount behavior and the underlying factors contributing to it, this paper strives to contribute valuable insights for investors navigating the evolving landscape of digital asset investments",q-fin.TR,['q-fin.TR'],2409.00270v1,,,,q-fin.TR,bitcoin
46,Bitcoin Beacon,"Iddo Bentov, Ariel Gabizon, David Zuckerman","['Iddo Bentov', 'Ariel Gabizon', 'David Zuckerman']",2016-05-15,2016-05-15T14:41:02Z,https://arxiv.org/abs/1605.04559v2,"We examine a protocol $π_{\text{beacon}}$ that outputs unpredictable and publicly verifiable randomness, meaning that the output is unknown at the time that $π_{\text{beacon}}$ starts, yet everyone can verify that the output is close to uniform after $π_{\text{beacon}}$ terminates. We show that $π_{\text{beacon}}$ can be instantiated via Bitcoin under sensible assumptions; in particular we consider an adversary with an arbitrarily large initial budget who may not operate at a loss indefinitely. In case the adversary has an infinite budget, we provide an impossibility result that stems from the similarity between the Bitcoin model and Santha-Vazirani sources. We also give a hybrid protocol that combines trusted parties and a Bitcoin-based beacon.",cs.CR,['cs.CR'],1605.04559v2,,,,cs.CR,bitcoin
47,Challenging Practical Features of Bitcoin by the Main Altcoins,"Andrew Spurr, Marcel Ausloos","['Andrew Spurr', 'Marcel Ausloos']",2020-12-19,2020-12-19T13:09:54Z,https://arxiv.org/abs/2101.03891v1,"We study the fundamental differences that separate: Litecoin; Bitcoin Gold; Bitcoin Cash; Ethereum; and Zcash from Bitcoin, and draw analysis to how these features are appreciated by the market, to ultimately make an inference as to how future successful cryptocurrencies may behave. We use Google Trend data, as well as price, volume and market capitalization data sourced from coinmarketcap.com to support this analysis. We find that Litecoin's shorter block times offer benefits in commerce, but drawbacks in the mining process through orphaned blocks. Zcash holds a niche use for anonymous transactions, benefitting areas of the world lacking in economic freedom. Bitcoin Cash suffers from centralization in the mining process, while the greater decentralization of Bitcoin Gold has generally left it to stagnate. Ether's greater functionality offers the greatest threat to Bitcoin's dominance in the market. A coin that incorporates several of these features can be technically better than Bitcoin, but the first-to-marketadvantage of Bitcoin should keep its dominant position in the market.",q-fin.GN,['q-fin.GN'],2101.03891v1,10.1007/s11135-020-01062-x,33 pages; 50 references; 3 figures; 3 tables; to be published in Quality and Quantity,,q-fin.GN,bitcoin
48,Anonymity Properties of the Bitcoin P2P Network,"Giulia Fanti, Pramod Viswanath","['Giulia Fanti', 'Pramod Viswanath']",2017-03-26,2017-03-26T03:47:26Z,https://arxiv.org/abs/1703.08761v1,"Bitcoin is a popular alternative to fiat money, widely used for its perceived anonymity properties. However, recent attacks on Bitcoin's peer-to-peer (P2P) network demonstrated that its gossip-based flooding protocols, which are used to ensure global network consistency, may enable user deanonymization---the linkage of a user's IP address with her pseudonym in the Bitcoin network. In 2015, the Bitcoin community responded to these attacks by changing the network's flooding mechanism to a different protocol, known as diffusion. However, no systematic justification was provided for the change, and it is unclear if diffusion actually improves the system's anonymity. In this paper, we model the Bitcoin networking stack and analyze its anonymity properties, both pre- and post-2015. In doing so, we consider new adversarial models and spreading mechanisms that have not been previously studied in the source-finding literature. We theoretically prove that Bitcoin's networking protocols (both pre- and post-2015) offer poor anonymity properties on networks with a regular-tree topology. We validate this claim in simulation on a 2015 snapshot of the real Bitcoin P2P network topology.",cs.CR,['cs.CR'],1703.08761v1,,,,cs.CR,bitcoin
49,A Bayesian Approach to Identify Bitcoin Users,"Péter L. Juhász, József Stéger, Dániel Kondor, Gábor Vattay","['Péter L. Juhász', 'József Stéger', 'Dániel Kondor', 'Gábor Vattay']",2016-12-20,2016-12-20T16:46:27Z,https://arxiv.org/abs/1612.06747v4,"Bitcoin is a digital currency and electronic payment system operating over a peer-to-peer network on the Internet. One of its most important properties is the high level of anonymity it provides for its users. The users are identified by their Bitcoin addresses, which are random strings in the public records of transactions, the blockchain. When a user initiates a Bitcoin-transaction, his Bitcoin client program relays messages to other clients through the Bitcoin network. Monitoring the propagation of these messages and analyzing them carefully reveal hidden relations. In this paper, we develop a mathematical model using a probabilistic approach to link Bitcoin addresses and transactions to the originator IP address. To utilize our model, we carried out experiments by installing more than a hundred modified Bitcoin clients distributed in the network to observe as many messages as possible. During a two month observation period we were able to identify several thousand Bitcoin clients and bind their transactions to geographical locations.","stat.AP, cs.CR","['stat.AP', 'cs.CR']",1612.06747v4,10.1371/journal.pone.0207000,,PLoS ONE 13(12): e0207000 (2018),stat.AP,bitcoin
50,Modeling and Verification of the Bitcoin Protocol,"Kaylash Chaudhary, Ansgar Fehnker, Jaco van de Pol, Marielle Stoelinga","['Kaylash Chaudhary', 'Ansgar Fehnker', 'Jaco van de Pol', 'Marielle Stoelinga']",2015-11-13,2015-11-13T06:28:19Z,https://arxiv.org/abs/1511.04173v1,"Bitcoin is a popular digital currency for online payments, realized as a decentralized peer-to-peer electronic cash system. Bitcoin keeps a ledger of all transactions; the majority of the participants decides on the correct ledger. Since there is no trusted third party to guard against double spending, and inspired by its popularity, we would like to investigate the correctness of the Bitcoin protocol. Double spending is an important threat to electronic payment systems. Double spending would happen if one user could force a majority to believe that a ledger without his previous payment is the correct one. We are interested in the probability of success of such a double spending attack, which is linked to the computational power of the attacker. This paper examines the Bitcoin protocol and provides its formalization as an UPPAAL model. The model will be used to show how double spending can be done if the parties in the Bitcoin protocol behave maliciously, and with what probability double spending occurs.","cs.LO, cs.CR","['cs.LO', 'cs.CR']",1511.04173v1,10.4204/EPTCS.196.5,"In Proceedings MARS 2015, arXiv:1511.02528","EPTCS 196, 2015, pp. 46-60",cs.LO,bitcoin
51,Bitcoin and Blockchain: Security and Privacy,"Ehab Zaghloul, Tongtong Li, Matt Mutka, Jian Ren","['Ehab Zaghloul', 'Tongtong Li', 'Matt Mutka', 'Jian Ren']",2019-04-25,2019-04-25T16:16:06Z,https://arxiv.org/abs/1904.11435v1,"A cryptocurrency is a decentralized digital currency that is designed for secure and private asset transfer and storage. As a currency, it should be difficult to counterfeit and double-spend. In this paper, we review and analyze the major security and privacy issues of Bitcoin. In particular, we focus on its underlying foundation, blockchain technology. First, we present a comprehensive background of Bitcoin and the preliminary on security. Second, the major security threats and countermeasures of Bitcoin are investigated. We analyze the risk of double-spending attacks, evaluate the probability of success in performing the attacks and derive the profitability for the attacker to perform such attacks. Third, we analyze the underlying Bitcoin peer-to-peer network security risks and Bitcoin storage security. We compare three types of Bitcoin wallets in terms of security, type of services and their trade-offs. Finally, we discuss the security and privacy features of alternative cryptocurrencies and present an overview of emerging technologies today. Our results can help Bitcoin users to determine a trade-off between the risk of double-spending attempts and the transaction time delay or confidence before accepting transactions. These results can also assist miners to develop suitable strategies to get involved in the mining process and maximize their profits.",cs.CR,['cs.CR'],1904.11435v1,,,,cs.CR,bitcoin
52,Mining Tweets to Predict Future Bitcoin Price,"Ashutosh Hathidara, Gaurav Atavale, Suyash Chaudhary","['Ashutosh Hathidara', 'Gaurav Atavale', 'Suyash Chaudhary']",2024-12-03,2024-12-03T04:09:19Z,https://arxiv.org/abs/2412.02148v1,"Bitcoin has increased investment interests in people during the last decade. We have seen an increase in the number of posts on social media platforms about cryptocurrency, especially Bitcoin. This project focuses on analyzing user tweet data in combination with Bitcoin price data to see the relevance between price fluctuations and the conversation between millions of people on Twitter. This study also exploits this relationship between user tweets and bitcoin prices to predict the future bitcoin price. We are utilizing novel techniques and methods to analyze the data and make price predictions.",cs.AI,['cs.AI'],2412.02148v1,,,,cs.AI,bitcoin
