"reviewId","userId","userName","userImage","content","score","thumbsUpCount","thumbsDownCount","at","date","url","replyContent","repliedAt","appVersion","device","androidOsVersion"
"7582d7ac-242c-43f9-8fdd-6be8eb953688","","cledson carlosdasilva","https://play-lh.googleusercontent.com/a-/ALV-UjV_9XjIJxH4svqJvEK9XFo6YMQm2SwMICvtiHCs6OoPcAo81uld6Q","sempre fui satisfeito com o app","5","0","0","2025-11-22 10:36:44","","","","","1.1.13","",""
"0e1c3dee-c5e3-49ab-974b-47c6524402c2","","Nando Oliveira","https://play-lh.googleusercontent.com/a-/ALV-UjVBN7kFbfeRGLzS60mSZdwYUW7-7guoS2RDi62ddpL7Ct7ziFs9","muito bom aplicativo excelente","5","0","0","2025-11-25 13:55:23","","","","","1.1.13","",""
"cbe19765-e86a-42d5-bbc6-624549d1c0ff","","Jose Giliard lima","https://play-lh.googleusercontent.com/a/ACg8ocJiRYKGOjLhAmyM145-cuA31vvR2BHFGKiwxoPhzmFiCaav1A=mo","bom","5","0","0","2025-06-06 17:20:21","","","","","1.1.9","",""
"e1ad8efc-1aaa-45da-b258-26c2bb0dee9c","","moises macl.supervisor","https://play-lh.googleusercontent.com/a-/ALV-UjWvgtM0rWs2J2XizqnYb11fmGU2O3OjXHjry_ibg3-2xl0Lqxv2","top de mais","5","0","0","2025-05-24 09:15:56","","","","","","",""
"73202df5-bf5c-449c-b2fb-560d9f846196","","NEUSA MARIA FERREIRA SIGNORI","https://play-lh.googleusercontent.com/a-/ALV-UjWWN3IGEOM1wC2T7uiPJv5OvWZlq3wNUWp2xKMBWZMNSA_cuPJq","muito bom ter estado com vcs.","5","0","0","2025-11-26 09:26:06","","","","","1.1.13","",""
"a5143e1f-3150-47b4-a126-8eaaa36c6d66","","Adailson Santos","https://play-lh.googleusercontent.com/a-/ALV-UjUlWW8KgCcf34rR4bggdjK4eJFbIYdURa0e_SPvLAvLB4MS2Fw","muito bom,fácil acesso","5","0","0","2025-03-15 11:54:39","","","","","1.1.8","",""
"9c53cb0f-9dd7-44a2-a5db-8084978acbbe","","Lucio Alves Santos","https://play-lh.googleusercontent.com/a-/ALV-UjUhcrDPAMzgotrTeoBIdUdzfVmLA9RtMVXHKwEGWKBjbP5COs4_0w","Muito bom aplicativo de vcs!! Parabéns a todos os envolvidos nessa plataforma. 🙌👏💯","5","0","0","2025-02-01 02:16:36","","","","","1.1.8","",""
"56d25bf3-2add-4dfb-91b0-f26228f6db6e","","Silvio De Lira","https://play-lh.googleusercontent.com/a/ACg8ocJERbjsltld56bbkr7X9a6L6zyksT200_NErbF7h7wWvbikag=mo","Corretora prático, eficiente, e com taxas baixas","5","0","0","2025-02-03 11:52:44","","","","","1.1.8","",""
"c25edf35-92c0-4cbd-bdc7-647b1dce3074","","Idaci Fischer Ribeiro","https://play-lh.googleusercontent.com/a/ACg8ocIzz59mR-NGqiTlPa0uK2-vNvC9pBKQz9ex6EvrHIRhdX8p2w=mo","Bommm","4","0","0","2025-02-13 21:19:25","","","","","1.1.8","",""
"e1515ee1-2791-4eaa-9105-5ce5f0cdba84","","Antonio Silva","https://play-lh.googleusercontent.com/a/ACg8ocK7bFl0ialLYl3b07vvYkvvYRLwI_dXaoEn3GRm_uZmjS9Y=mo","Podia adicionar a opção de envio e recebimento por Lightning.","3","0","0","2025-03-01 11:43:00","","","","","1.1.8","",""
"a3a31f86-4545-4fe1-ab6c-4508aea45245","","JO Drummer channel","https://play-lh.googleusercontent.com/a-/ALV-UjUNIzObgv7tBFWsNfdR94uFxWd3fdXGlNHhBvbmVjXzyTrgMEC2","Excelente","5","0","0","2025-03-01 18:02:34","","","","","1.1.8","",""
